timestamp,eyetrackerLog,sampledLook,avgPOS,curLook,response
260573.23450013064,,"(1544.0, 694.0)","(1544.0, 694.0)",right,right
260574.57199995406,,"(1544.0, 694.0)","(1544.0, 694.0)",right,right
260577.30340003036,,"(1544.0, 694.0)","(1544.0, 694.0)",right,right
260578.08110001497,,"(1544.0, 694.0)","(1544.0, 694.0)",right,right
260578.72880017385,,"(1544.0, 694.0)","(1544.0, 694.0)",right,right
260579.64979996905,,"(1544.0, 694.0)","(1544.0, 694.0)",right,right
260581.33720001206,,"(1544.0, 694.0)","(1544.0, 694.0)",right,right
260582.6977000106,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260583.63709994592,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260584.5329000149,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260585.4118000716,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260586.1657001078,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260586.9595000986,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260588.7879000511,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260590.09280009195,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260590.79090016894,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260593.29480002634,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260594.0388001036,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260594.6909999475,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260595.4077001661,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260596.1959999986,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260596.9021001365,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260597.64169994742,,"(1548.0, 694.0)","(1548.0, 694.0)",right,right
260598.561800085,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260599.34900002554,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260600.11130012572,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260600.83450004458,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260601.4901001472,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260602.32970002107,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260603.27460011467,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260604.8282000702,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260606.8770000711,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260609.4327000901,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260610.2371001616,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260610.96630012617,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260611.70430015773,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260612.45090002194,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260613.13310009427,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260613.8427001424,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260614.49740012176,,"(1545.0, 696.0)","(1545.0, 696.0)",right,right
260615.4110999778,,"(1542.0, 690.0)","(1542.0, 690.0)",right,right
260616.1623999942,,"(1542.0, 690.0)","(1542.0, 690.0)",right,right
260616.91009998322,,"(1542.0, 690.0)","(1542.0, 690.0)",right,right
260617.6098000724,,"(1542.0, 690.0)","(1542.0, 690.0)",right,right
260618.37210017256,,"(1542.0, 690.0)","(1542.0, 690.0)",right,right
260619.04920008965,,"(1542.0, 690.0)","(1542.0, 690.0)",right,right
260619.7290001437,,"(1542.0, 690.0)","(1542.0, 690.0)",right,right
260620.44470012188,,"(1542.0, 690.0)","(1542.0, 690.0)",right,right
260621.96839996614,,"(1542.0, 690.0)","(1542.0, 690.0)",right,right
260627.91920010932,,"(1542.0, 690.0)","(1542.0, 690.0)",right,right
260630.29180001467,,"(1542.0, 690.0)","(1542.0, 690.0)",right,right
260632.62769998983,,"(1542.0, 690.0)","(1542.0, 690.0)",right,right
260634.33469994925,,"(1549.0, 697.0)","(1549.0, 697.0)",right,right
260635.56470000185,,"(1549.0, 697.0)","(1549.0, 697.0)",right,right
260637.9718000535,,"(1549.0, 697.0)","(1549.0, 697.0)",right,right
260644.5090000052,,"(1549.0, 697.0)","(1549.0, 697.0)",right,right
260646.82390005328,,"(1549.0, 697.0)","(1549.0, 697.0)",right,right
260649.60020012222,,"(1549.0, 697.0)","(1549.0, 697.0)",right,right
260650.8564001415,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260651.8333000131,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260652.58059999906,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260653.24819996022,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260656.30340017378,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260657.60820009746,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260658.36660005152,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260659.05919997022,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260659.7899000626,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260660.4935999494,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260661.21700010262,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260661.9107001461,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260662.58740006015,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260663.3322001435,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260664.06740015373,,"(1550.0, 689.0)","(1550.0, 689.0)",right,right
260664.9818001315,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260665.7929001376,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260666.52310010977,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260667.24630002864,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260667.92879998684,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260668.60930016264,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260669.2528000567,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260673.1299001258,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260673.9399000071,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260674.63210015558,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260675.3000000026,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260676.09960003756,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260676.8722999841,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260677.59050009772,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260678.27829997987,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260678.9271000307,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260679.62920013815,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260680.36970007233,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260681.08869995922,,"(1546.0, 693.0)","(1546.0, 693.0)",right,right
260682.09480005316,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260683.0492001027,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260684.30770002306,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260687.6431000419,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260689.1789000947,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260689.98960009776,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260690.8420000691,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260691.61049998365,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260692.36510014161,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260693.11029999517,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260693.79030005075,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260694.46150003932,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260695.127800107,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260695.8243001718,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260696.65589998476,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260697.37259997055,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260698.07950011455,,"(1549.0, 694.0)","(1549.0, 694.0)",right,right
260698.94829997793,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260699.69410006888,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260700.4343001172,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260702.95910001732,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260703.65760009736,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260704.98430007137,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260706.6826999653,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260708.05390016176,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260708.83270003833,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260709.52000003308,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260710.22330014966,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260711.00110001862,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260711.7296999786,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260712.3891999945,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260713.15470011905,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260713.83130014874,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260714.49410007335,,"(1546.0, 698.0)","(1546.0, 698.0)",right,right
260715.372600127,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260716.15130011924,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260718.89120014384,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260719.6919999551,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260720.3059999738,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260721.54169995338,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260723.34669996053,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260724.21959997155,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260725.6500001531,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260726.60530009307,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260727.3725999985,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260728.09970006347,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260728.83100016043,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260729.5403999742,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260730.43240001425,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260731.2046000734,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260731.8908001762,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260732.805600157,,"(1545.0, 697.0)","(1545.0, 697.0)",right,right
260735.019300133,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260735.74490007013,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260736.360500101,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260737.04020003788,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260738.64340013824,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260740.38750003092,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260741.43299995922,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260742.14190011844,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260742.81920003705,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260743.52350016125,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260744.2461999599,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260744.98190009035,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260745.67400012165,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260746.3952000253,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260747.0971001312,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260749.93370007724,,"(1550.0, 692.0)","(1550.0, 692.0)",right,right
260750.7333001122,,"(1546.0, 695.0)","(1546.0, 695.0)",right,right
260751.36979995295,,"(1546.0, 695.0)","(1546.0, 695.0)",right,right
260752.0344001241,,"(1546.0, 695.0)","(1546.0, 695.0)",right,right
260752.7992001269,,"(1546.0, 695.0)","(1546.0, 695.0)",right,right
260753.5671000369,,"(1546.0, 695.0)","(1546.0, 695.0)",right,right
260755.30020007864,,"(1546.0, 695.0)","(1546.0, 695.0)",right,right
