timestamp,eyetrackerLog,sampledLook,avgPOS,curLook,response
1877974.0734000225,,"(370.0, 424.0)","(370.0, 424.0)",left,left
1877974.8425001744,,"(370.0, 424.0)","(370.0, 424.0)",left,left
1877975.4157999996,,"(370.0, 424.0)","(370.0, 424.0)",left,left
1877976.4734001365,,"(370.0, 424.0)","(370.0, 424.0)",left,left
1877977.447600104,,"(370.0, 424.0)","(370.0, 424.0)",left,left
1877979.3146001175,,"(370.0, 424.0)","(370.0, 424.0)",left,left
1877983.2725001033,,"(370.0, 424.0)","(370.0, 424.0)",left,left
1877984.0173001867,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877984.6555001568,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877985.2961001452,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877985.922300024,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877986.5848000627,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877987.2445999645,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877987.8940000199,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877988.5649001226,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877989.2333000898,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877989.8386001587,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877990.4736999888,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877991.0991999786,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877991.7915000115,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877992.5787001848,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877994.5775000378,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877998.1456999667,,"(375.0, 423.0)","(375.0, 423.0)",left,left
1877999.069500016,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1877999.7146001551,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878000.3761001863,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878001.0621000547,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878001.67220016,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878002.313300036,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878002.9852001462,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878003.713699989,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878004.390400136,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878004.9976999871,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878005.6441000197,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878006.265599979,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878006.955299992,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878007.5497999787,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878008.1219000276,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878009.0241001453,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878010.3050000034,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878015.5824001413,,"(383.0, 443.0)","(383.0, 443.0)",left,left
1878016.4954001084,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878017.452500062,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878018.1383001618,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878018.6843001284,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878019.3686999846,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878019.935300108,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878020.599800162,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878021.1926000193,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878021.8699001707,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878022.4982001819,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878023.116500117,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878023.7057001796,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878024.3109001312,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878024.9106001575,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878025.6151000503,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878029.571800027,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878030.2575000096,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878030.8556000236,,"(382.0, 546.0)","(382.0, 546.0)",left,left
1878031.909600133,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878032.623999985,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878033.2955000922,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878033.9273000136,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878034.5539001282,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878035.194300115,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878035.8502001036,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878036.58010019,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878037.6528999768,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878038.791500032,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878039.466700051,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878040.0962000713,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878040.7151000109,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878041.4042000193,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878044.7050000075,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878045.4081001226,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878045.9906000178,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878046.5476000682,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878047.1970001236,,"(392.0, 588.0)","(392.0, 588.0)",left,left
1878048.1161000207,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878048.8150001038,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878049.495600164,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878050.14330009,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878050.7450001314,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878051.3460000511,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878051.9237001427,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878052.4939000607,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878053.1315000262,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878053.784900112,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878054.3621999677,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878055.1037001424,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878055.6505999994,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878056.26270012,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878056.9160000887,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878057.548200013,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878060.3239999618,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878062.0081999805,,"(386.0, 591.0)","(386.0, 591.0)",left,left
1878064.112200169,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878065.715600038,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878066.413300112,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878067.0185000636,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878067.6202999894,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878068.22929997,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878068.8234001864,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878069.4367999677,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878070.053000003,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878070.6997001544,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878071.3130000513,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878071.88770012,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878072.4212999921,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878073.0244000442,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878073.6920000054,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878076.2661001645,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878077.1270000841,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878078.0200001318,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878079.5843000524,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878081.11200016,,"(388.0, 598.0)","(388.0, 598.0)",left,left
1878081.9530000445,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878082.62690017,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878083.4109999705,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878084.0004000347,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878084.572999971,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878085.1573001128,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878085.7516000979,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878086.3330999855,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878086.9516001549,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878087.5532000791,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878088.1411000155,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878088.7474999763,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878089.3594999798,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878091.9689000584,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878093.2812001556,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878094.5397999603,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878095.9705000278,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878097.2611000761,,"(394.0, 595.0)","(394.0, 595.0)",left,left
1878098.1616000645,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878098.901499994,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878099.5257999748,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878100.1397001091,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878100.7489000913,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878101.3436999638,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878101.9767001271,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878102.5865001138,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878103.3469000831,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878104.0217999835,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878104.5978001785,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878105.2431999706,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878107.6138000935,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878108.2717000972,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878108.8428001385,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878110.0580999628,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878111.7841000669,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878112.4885000754,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878113.0850999616,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878113.6889001355,,"(387.0, 601.0)","(387.0, 601.0)",left,left
1878114.5187001675,,"(392.0, 593.0)","(392.0, 593.0)",left,left
1878115.2691000607,,"(392.0, 593.0)","(392.0, 593.0)",left,left
1878116.0004001576,,"(392.0, 593.0)","(392.0, 593.0)",left,left
