startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,locationLatitude,locationLongitude,distributionChannel,userLanguage,QID20_TEXT,QID21_TEXT,1_QID22,1_QID3_1,2_QID22,2_QID3_1,3_QID22,3_QID3_1,4_QID22,4_QID3_1,5_QID22,5_QID3_1,6_QID22,6_QID3_1,7_QID22,7_QID3_1,8_QID22,8_QID3_1,subject_id,study_id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,LocationLatitude - Location Latitude,LocationLongitude - Location Longitude,DistributionChannel - Distribution Channel,UserLanguage - User Language,Q20 - Enter subject ID,Q21 - Enter study name,1_undsays - apple - [Field-1],1_conf_1 - How sure are you about your response for [Field-1]? - apple - How sure are you about your response for ${lm://Field/1}?,2_undsays - ball - [Field-1],2_conf_1 - How sure are you about your response for [Field-1]? - ball - How sure are you about your response for ${lm://Field/1}?,3_undsays - book - [Field-1],3_conf_1 - How sure are you about your response for [Field-1]? - book - How sure are you about your response for ${lm://Field/1}?,4_undsays - cat - [Field-1],4_conf_1 - How sure are you about your response for [Field-1]? - cat - How sure are you about your response for ${lm://Field/1}?,5_undsays - dog - [Field-1],5_conf_1 - How sure are you about your response for [Field-1]? - dog - How sure are you about your response for ${lm://Field/1}?,6_undsays - duck - [Field-1],6_conf_1 - How sure are you about your response for [Field-1]? - duck - How sure are you about your response for ${lm://Field/1}?,7_undsays - hat - [Field-1],7_conf_1 - How sure are you about your response for [Field-1]? - hat - How sure are you about your response for ${lm://Field/1}?,8_undsays - train - [Field-1],8_conf_1 - How sure are you about your response for [Field-1]? - train - How sure are you about your response for ${lm://Field/1}?,subject_id,study_id
2024-05-23 08:16:40,2024-05-23 08:37:09,IP Address,72.33.2.66,100,1229,True,2024-05-23 08:37:10,R_1OZcIRUsbqLSqxy,,,,,43.0812,-89.3845,anonymous,EN,BI146,"BabyInfo ",understands,82,understands AND says,100,understands AND says,100,understands,75,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,,
2024-05-24 07:41:35,2024-05-24 08:01:18,IP Address,72.33.2.208,100,1182,True,2024-05-24 08:01:19,R_16aIG11PlXI7SDC,,,,,43.0812,-89.3845,anonymous,EN,BI148,"BabyInfo ",understands,95,understands,100,understands,100,understands,100,understands AND says,100,understands,100,understands,100,does NOT understand or say,95,,
2024-05-24 12:53:57,2024-05-24 13:50:10,IP Address,72.33.2.208,100,3372,True,2024-05-24 13:50:10,R_3QIVDUVXeVgVd97,,,,,43.0812,-89.3845,anonymous,EN,BI153,"BabyInfo ",understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,95,,
2024-05-31 07:52:40,2024-05-31 08:08:28,IP Address,72.33.2.81,100,947,True,2024-05-31 08:08:29,R_69YvgIDkreZWUj7,,,,,43.0812,-89.3845,anonymous,EN,BI154,"BabyInfo ",understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,,
2024-06-03 07:52:18,2024-06-03 08:04:08,IP Address,72.33.2.81,100,709,True,2024-06-03 08:04:09,R_1NhnSIwVIqeuViq,,,,,43.0812,-89.3845,anonymous,EN,BI150,"BabyInfo ",understands AND says,92,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,51,,
2024-06-08 09:21:50,2024-06-08 09:27:20,IP Address,72.33.2.202,100,329,True,2024-06-08 09:27:20,R_6WwKXjd1hm0fizT,,,,,43.0812,-89.3845,anonymous,EN,BI156,babyInfo,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands,90,,
2024-06-10 09:14:38,2024-06-10 09:18:30,IP Address,72.33.2.234,100,232,True,2024-06-10 09:18:31,R_6o7l0WivChaJumu,,,,,43.0812,-89.3845,anonymous,EN,BI152,Bi,understands,100,understands AND says,100,understands,85,understands,100,understands AND says,100,understands AND says,100,understands,49,understands,100,,
2024-06-11 08:26:11,2024-06-11 08:54:25,IP Address,72.33.2.162,100,1693,True,2024-06-11 08:54:25,R_6jXXlGTEPJ2Aml3,,,,,43.0812,-89.3845,anonymous,EN,BI158,"BabyInfo ",understands AND says,80,understands AND says,90,understands AND says,90,understands AND says,90,understands AND says,90,understands AND says,90,understands AND says,80,does NOT understand or say,20,,
2024-06-11 11:46:31,2024-06-11 12:29:09,IP Address,72.33.2.162,100,2558,True,2024-06-11 12:29:10,R_75BHXlayC06MpBD,,,,,43.0812,-89.3845,anonymous,EN,Prac_1466,"BabyInfo Prac ",understands,81,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands,92,,
2024-06-19 07:51:13,2024-06-19 08:05:42,IP Address,72.33.2.98,100,868,True,2024-06-19 08:05:43,R_3lrWNQA9BUDlJOt,,,,,43.0812,-89.3845,anonymous,EN,BI162,"BabyInfo ",understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,99,,
